handle,period,num_communities,pct
JohnBarlowMP,jan,5,0.61
JohnBarlowMP,feb,7,0.69
JohnBarlowMP,mar,8,0.77
JohnBarlowMP,apr,11,0.77
JohnBarlowMP,may,5,0.73
JohnBarlowMP,jun,7,0.78
JohnBarlowMP,aug,6,1
JohnBarlowMP,oct,7,0.52
JohnBarlowMP,nov,7,0.84
JohnBarlowMP,dec,7,1
JohnBarlowMP,y2020,4,0.4
JohnBarlowMP,_q1,4,0.54
JohnBarlowMP,_q2,4,0.55
JohnBarlowMP,_q3,7,1
JohnBarlowMP,_q4,8,0.67
BobBenzen,jan,6,0.84
BobBenzen,feb,6,0.76
BobBenzen,mar,6,0.7
BobBenzen,apr,6,0.61
BobBenzen,may,6,0.8
BobBenzen,jun,6,0.45
BobBenzen,jul,4,0.39
BobBenzen,aug,7,0.54
BobBenzen,sep,6,0.64
BobBenzen,oct,6,0.66
BobBenzen,nov,5,0.74
BobBenzen,dec,5,0.53
BobBenzen,y2020,4,0.67
BobBenzen,_q1,4,0.47
BobBenzen,_q2,5,0.5
BobBenzen,_q3,5,0.59
BobBenzen,_q4,5,0.71
jameskcumming,jan,6,0.59
jameskcumming,feb,6,0.79
jameskcumming,mar,4,0.4
jameskcumming,apr,4,0.67
jameskcumming,may,4,0.4
jameskcumming,jun,4,0.69
jameskcumming,jul,5,0.83
jameskcumming,aug,6,0.71
jameskcumming,sep,6,0.81
jameskcumming,oct,5,0.57
jameskcumming,nov,6,0.52
jameskcumming,dec,13,0.82
jameskcumming,y2020,3,0.81
jameskcumming,_q1,4,0.53
jameskcumming,_q2,4,0.37
jameskcumming,_q3,4,0.76
jameskcumming,_q4,5,0.56
earl_dreeshen,apr,6,0.66
earl_dreeshen,may,7,0.54
earl_dreeshen,jun,7,0.76
earl_dreeshen,jul,6,0.36
earl_dreeshen,aug,6,0.86
earl_dreeshen,sep,7,0.99
earl_dreeshen,oct,6,0.78
earl_dreeshen,y2020,4,0.61
earl_dreeshen,_q1,7,0.97
earl_dreeshen,_q2,5,0.5
earl_dreeshen,_q3,5,0.64
earl_dreeshen,_q4,5,0.59
GarnettGenuis,jan,5,0.85
GarnettGenuis,feb,6,0.69
GarnettGenuis,mar,5,0.82
GarnettGenuis,apr,5,0.38
GarnettGenuis,may,5,0.87
GarnettGenuis,jun,5,0.56
GarnettGenuis,jul,6,0.83
GarnettGenuis,aug,6,0.89
GarnettGenuis,sep,6,0.61
GarnettGenuis,oct,6,0.58
GarnettGenuis,nov,5,0.79
GarnettGenuis,dec,5,0.69
GarnettGenuis,y2020,4,0.64
GarnettGenuis,_q1,5,0.5
GarnettGenuis,_q2,5,0.76
GarnettGenuis,_q3,5,0.93
GarnettGenuis,_q4,5,0.82
jasrajshallan,jan,5,0.64
jasrajshallan,feb,4,0.98
jasrajshallan,mar,4,0.55
jasrajshallan,apr,5,0.68
jasrajshallan,may,5,0.57
jasrajshallan,jun,5,0.52
jasrajshallan,jul,4,0.48
jasrajshallan,aug,5,0.68
jasrajshallan,sep,4,0.39
jasrajshallan,oct,5,0.54
jasrajshallan,nov,5,0.79
jasrajshallan,dec,6,0.49
jasrajshallan,y2020,4,0.76
jasrajshallan,_q1,5,0.39
jasrajshallan,_q2,4,0.51
jasrajshallan,_q3,4,0.49
jasrajshallan,_q4,4,0.99
jeneroux,jan,8,0.72
jeneroux,feb,7,0.54
jeneroux,mar,6,0.54
jeneroux,apr,4,0.66
jeneroux,may,5,0.88
jeneroux,jun,4,0.98
jeneroux,jul,4,0.75
jeneroux,aug,4,0.71
jeneroux,sep,6,0.75
jeneroux,oct,5,0.57
jeneroux,nov,4,0.46
jeneroux,dec,5,0.45
jeneroux,y2020,4,0.37
jeneroux,_q1,6,0.9
jeneroux,_q2,4,0.88
jeneroux,_q3,5,0.66
jeneroux,_q4,4,0.86
PatKelly_MP,jan,9,0.91
PatKelly_MP,feb,11,0.48
PatKelly_MP,mar,13,0.61
PatKelly_MP,apr,10,1
PatKelly_MP,may,11,1
PatKelly_MP,jun,9,1
PatKelly_MP,jul,10,0.83
PatKelly_MP,aug,14,0.73
PatKelly_MP,oct,10,0.97
PatKelly_MP,nov,16,0.4
PatKelly_MP,y2020,6,0.6
PatKelly_MP,_q1,8,0.71
PatKelly_MP,_q2,8,0.9
PatKelly_MP,_q3,5,0.42
PatKelly_MP,_q4,16,0.94
tomkmiec,jan,13,0.98
tomkmiec,feb,5,0.45
tomkmiec,mar,9,0.91
tomkmiec,apr,5,0.45
tomkmiec,may,8,1
tomkmiec,jun,7,0.77
tomkmiec,jul,5,0.66
tomkmiec,aug,5,0.59
tomkmiec,sep,8,0.8
tomkmiec,oct,6,0.95
tomkmiec,y2020,4,1
tomkmiec,_q1,7,0.48
tomkmiec,_q2,4,0.73
tomkmiec,_q3,4,0.54
tomkmiec,_q4,9,0.96
dckurek,feb,5,0.94
dckurek,mar,8,0.95
dckurek,apr,8,0.69
dckurek,may,11,1
dckurek,jun,6,0.73
dckurek,jul,7,0.68
dckurek,aug,8,1
dckurek,sep,6,1
dckurek,oct,7,0.38
dckurek,nov,10,0.9
dckurek,y2020,5,0.69
dckurek,_q1,5,0.34
dckurek,_q2,6,0.69
dckurek,_q3,9,0.5
dckurek,_q4,7,0.59
StephanieKusie,jan,5,0.4
StephanieKusie,feb,8,0.82
StephanieKusie,mar,5,0.74
StephanieKusie,apr,7,0.73
StephanieKusie,may,7,0.91
StephanieKusie,jun,6,0.89
StephanieKusie,jul,6,0.87
StephanieKusie,aug,9,0.64
StephanieKusie,sep,6,0.5
StephanieKusie,oct,7,0.89
StephanieKusie,nov,4,0.67
StephanieKusie,dec,8,0.61
StephanieKusie,y2020,4,0.42
StephanieKusie,_q1,4,0.63
StephanieKusie,_q2,4,0.53
StephanieKusie,_q3,5,0.6
StephanieKusie,_q4,4,0.37
MikeLakeMP,jan,12,1
MikeLakeMP,feb,4,0.45
MikeLakeMP,mar,6,0.63
MikeLakeMP,apr,3,0.77
MikeLakeMP,may,8,0.98
MikeLakeMP,jun,6,0.92
MikeLakeMP,jul,5,0.34
MikeLakeMP,aug,7,0.54
MikeLakeMP,sep,7,0.85
MikeLakeMP,oct,12,1
MikeLakeMP,nov,6,0.99
MikeLakeMP,dec,6,0.45
MikeLakeMP,y2020,5,0.57
MikeLakeMP,_q1,6,0.57
MikeLakeMP,_q2,4,0.48
MikeLakeMP,_q3,6,0.63
MikeLakeMP,_q4,5,0.52
DaneLIoydMP,jan,10,0.96
DaneLIoydMP,feb,10,0.98
DaneLIoydMP,mar,11,0.77
DaneLIoydMP,apr,5,0.61
DaneLIoydMP,may,14,1
DaneLIoydMP,jun,6,0.82
DaneLIoydMP,jul,15,1
DaneLIoydMP,aug,8,0.99
DaneLIoydMP,sep,4,0.44
DaneLIoydMP,oct,8,0.64
DaneLIoydMP,nov,8,0.44
DaneLIoydMP,dec,8,1
DaneLIoydMP,y2020,4,0.65
DaneLIoydMP,_q1,5,0.51
DaneLIoydMP,_q2,5,0.55
DaneLIoydMP,_q3,4,0.69
DaneLIoydMP,_q4,6,0.49
GregMcLeanYYC,jan,8,0.94
GregMcLeanYYC,feb,5,0.98
GregMcLeanYYC,mar,3,0.84
GregMcLeanYYC,apr,4,0.76
GregMcLeanYYC,may,4,0.65
GregMcLeanYYC,jun,5,0.88
GregMcLeanYYC,jul,5,0.42
GregMcLeanYYC,aug,5,0.54
GregMcLeanYYC,sep,4,0.85
GregMcLeanYYC,oct,5,0.86
GregMcLeanYYC,nov,5,0.62
GregMcLeanYYC,dec,4,0.83
GregMcLeanYYC,y2020,3,0.95
GregMcLeanYYC,_q1,4,0.49
GregMcLeanYYC,_q2,4,0.94
GregMcLeanYYC,_q3,4,0.74
GregMcLeanYYC,_q4,4,0.34
HMcPhersonMP,jan,6,0.71
HMcPhersonMP,feb,6,0.39
HMcPhersonMP,mar,6,0.81
HMcPhersonMP,apr,6,0.9
HMcPhersonMP,may,5,0.49
HMcPhersonMP,jun,5,0.66
HMcPhersonMP,jul,4,0.93
HMcPhersonMP,aug,3,0.98
HMcPhersonMP,sep,5,1
HMcPhersonMP,oct,5,0.66
HMcPhersonMP,nov,4,0.49
HMcPhersonMP,dec,6,0.63
HMcPhersonMP,y2020,4,0.87
HMcPhersonMP,_q1,5,0.61
HMcPhersonMP,_q2,4,0.92
HMcPhersonMP,_q3,4,0.6
HMcPhersonMP,_q4,4,0.75
GlenMotz,jan,6,0.5
GlenMotz,feb,5,0.88
GlenMotz,mar,4,0.62
GlenMotz,apr,6,0.93
GlenMotz,may,6,0.5
GlenMotz,jun,9,0.9
GlenMotz,jul,8,0.82
GlenMotz,aug,5,0.99
GlenMotz,sep,7,0.99
GlenMotz,oct,6,0.67
GlenMotz,nov,8,0.98
GlenMotz,dec,5,0.38
GlenMotz,y2020,4,0.43
GlenMotz,_q1,5,0.88
GlenMotz,_q2,6,0.7
GlenMotz,_q3,4,1
GlenMotz,_q4,5,0.7
MichelleRempel,jan,6,0.88
MichelleRempel,feb,10,0.48
MichelleRempel,mar,4,0.75
MichelleRempel,apr,6,0.55
MichelleRempel,may,12,0.83
MichelleRempel,jun,6,0.58
MichelleRempel,jul,8,0.63
MichelleRempel,aug,6,0.53
MichelleRempel,sep,4,0.61
MichelleRempel,oct,6,0.89
MichelleRempel,nov,8,1
MichelleRempel,dec,8,0.84
MichelleRempel,y2020,4,0.42
MichelleRempel,_q1,6,0.49
MichelleRempel,_q2,5,0.45
MichelleRempel,_q3,5,0.65
MichelleRempel,_q4,5,0.6
BlakeRichardsMP,mar,12,0.72
BlakeRichardsMP,apr,11,1
BlakeRichardsMP,may,10,0.84
BlakeRichardsMP,jun,3,0.95
BlakeRichardsMP,jul,9,0.78
BlakeRichardsMP,aug,7,0.96
BlakeRichardsMP,sep,7,0.41
BlakeRichardsMP,oct,7,0.59
BlakeRichardsMP,nov,7,0.51
BlakeRichardsMP,dec,5,0.66
BlakeRichardsMP,y2020,5,0.56
BlakeRichardsMP,_q1,9,0.45
BlakeRichardsMP,_q2,7,0.64
BlakeRichardsMP,_q3,6,0.52
BlakeRichardsMP,_q4,5,0.53
ShannonStubbsMP,feb,4,0.62
ShannonStubbsMP,mar,5,0.82
ShannonStubbsMP,apr,3,0.74
ShannonStubbsMP,may,4,0.51
ShannonStubbsMP,jun,4,0.34
ShannonStubbsMP,jul,4,0.81
ShannonStubbsMP,aug,3,1
ShannonStubbsMP,sep,3,1
ShannonStubbsMP,oct,6,0.77
ShannonStubbsMP,nov,5,0.51
ShannonStubbsMP,dec,6,0.94
ShannonStubbsMP,y2020,3,0.95
ShannonStubbsMP,_q1,3,0.72
ShannonStubbsMP,_q2,3,1
ShannonStubbsMP,_q3,4,0.86
ShannonStubbsMP,_q4,5,0.71
TimUppal,feb,9,0.91
TimUppal,mar,6,0.53
TimUppal,apr,6,0.74
TimUppal,may,9,0.64
TimUppal,jun,7,0.84
TimUppal,jul,9,0.99
TimUppal,aug,5,0.94
TimUppal,sep,5,0.36
TimUppal,oct,7,0.6
TimUppal,nov,6,0.76
TimUppal,dec,6,0.39
TimUppal,y2020,4,0.96
TimUppal,_q1,5,0.55
TimUppal,_q2,5,0.7
TimUppal,_q3,4,0.98
TimUppal,_q4,5,0.44
ArnoldViersen,jan,6,0.46
ArnoldViersen,feb,3,0.8
ArnoldViersen,mar,5,0.88
ArnoldViersen,apr,7,0.58
ArnoldViersen,may,6,0.78
ArnoldViersen,jun,6,0.55
ArnoldViersen,jul,7,0.52
ArnoldViersen,aug,5,0.98
ArnoldViersen,sep,6,1
ArnoldViersen,oct,7,0.92
ArnoldViersen,nov,7,0.79
ArnoldViersen,dec,6,0.94
ArnoldViersen,y2020,4,0.73
ArnoldViersen,_q1,4,0.41
ArnoldViersen,_q2,5,0.99
ArnoldViersen,_q3,6,0.64
ArnoldViersen,_q4,5,0.5
chriswarkentin,feb,6,0.83
chriswarkentin,mar,5,0.81
chriswarkentin,may,9,0.44
chriswarkentin,jun,6,0.91
chriswarkentin,jul,5,0.77
chriswarkentin,aug,6,0.76
chriswarkentin,sep,6,0.62
chriswarkentin,oct,8,0.54
chriswarkentin,nov,5,0.41
